name,brand_name,url,sku,id,rating_media,reviews
Impressora Tanque de Tinta Epson EcoTank L120 Colorida,Epson,https://www.extra.com.br/impressora-tanque-de-tinta-epson-ecotank-l120-colorida/p/11116843,11116843,7592114.0,4.0,"['Muito satisfeita. Gostei da qualidade da impressão. Na verdade ela é fantastica. Super facil de usar. Tudo muito simples. Eu nao paro de imprimir mais. Amei. Encaminhei uma foto de uma impressao que fiz para verem a qualidade.', 'A entrega foi pontual. Quanto a impressora, a montagem e configuração foi simples. Acho que o mais importante e que me fez escolher esse modelo, é a economia da tinta, e isso eu só vou saber com o tempo. A única coisa que me incomoda no momento é a falta de suporte para papel depois da impressão. De resto, tudo certo. ', 'muito bom produto, nada a declarar somente a elogiar.', 'Ok', 'Produto bem simples, porem atende os requisitos de sua proposta.', 'Bom produto', 'parece ser boa sim ! mas e meio agressiva p puxar a folha ! mas tudo ok ', 'Produto não  nem a opção de escolha de papel  e bem simples  impressão ruim wu não compraria novamente ', 'Bom, apresenta defeitos na impressão que precisam ser corrigidos constantemente. Não dá pra fazer uma impressão mais profissional, faço apenas uso doméstico. Dá trabalho tirar o ar dos tubos internos de tinta, o acesso é difícil, mas dá pra fazer com calma. No mais, funciona bem e é muito prático ter o compartimento de tinta externo.', 'mmuito bom', 'Bom', 'Ótima! Só não tem o suporte para as folhas impressas, mas vc deixando numa mesinha já resolve. Recomendo pelo custo x benefício.', 'Muito bom', 'Bom produto, apenas deveria vir com tampões para o respiro dos tanques de tinta e também com o recipiente externo para o expurgo de tintas quando feita a limpeza dos bicos dos jatos de tinta já instalado.', 'ótimo', 'EXELENTE', 'atendeu minhas expectativas', 'Faltou o apoio do papel quando sai da impressão. ', 'Esperava mais para somente uma impressora engasga muito papel ', 'Eu amei o produto\r\nChegou antes do prazo\r\n', 'Produto péssimo. Em menos de 30 dias apresentou defeito. Exijo a troca imediata por outro.', 'Atendeu as expectativas! Qualidade boa para uso doméstico', 'Ótima impressão, só falta um dispenser de papel na HR que sai a impressão.', '... ', 'Então comprei a impressora não faz um mês! E já está na assistência técnica! Disse o técnico q deve ter sido alguma ocilacao de energia aí ela é sensível e queima ...Entao pode até ser boa Mas não tive sorte ! ', 'É ótimo para o que preciso!!!!\r\n', 'O tanque de tinta é ideal para quem usa muito impressora ', 'Produto bom. Correspondendo às minhas expectativas até o momento.', '-', 'ok', 'O manual de instalação é muito confuso. Ele não segue as etapas de instalação na ordem em que devem acontecer. Se eu não tivesse algum conhecimento de informática, não teria conseguido instalar a impressora sem a ajuda de alguém.', 'Excelente custo benefício.', 'muito bom.', 'Muito bom até o monento td ok', 'Maravilhoso ', 'Ótimo ', 'Boa impressora pelo custo ... ', 'Ela não permite papéis com gramatura superior a 75gr. Pouco mais lenta q os outros modelos. ', 'Excelente produto, imprime com ótima qualidade, cumpre o que promete', 'Entrega antes do prazo estipulado. Adorei! Relação custo/benefício ótimo! Super recomendo! Sem contar que os cartuchos para recarga, são bem mais em conta!', 'Impressora muito boa, econômica, atende minhas necessidades.', 'Ótimo custo x benefício ', 'Uma impressora econômica, prática atende as necessidades de quem deseja somente imprimir. No momento, acho que o  preço ainda não é o ideal.', 'Muito bom! Recebi o produto antes do prazo. Impressora de ótima qualidade. Recomendo.', 'Ótimo.', 'Excelente ocupa pouco espaço fuiona muito bem', 'Produto bom, funcionou sem problemas. Facil instalação, embora um pouco demorada (cerca de 30 minutos). Prefiro apenas impressora do que as multifuncionais, que quebram com facilidade. Desvantagem: não suporta impressão via BlueTooth. Também não apresenta bandeja para recepção do papel que foi impresso. Ou seja, ele cai no chão ou sobre a mesa. Se for imprimir grandes quantidades, tem que ficar controlando para as paginas não se espalharem. Produto ótimo porem o preço não é tão atrativo. ', 'Poderia ser mais complet', 'Bom', 'Preço acessível, impressão boa, não tenho nenhuma queixa', 'Tudo perfeito. Sem contras', 'Gostei muito! Resolveu meus problemas para uso doméstico.\r\nÙnico inconveniente: a impressora como a maioria que colocam papéis na parte superior acaba engolindo mais folhas.Então, não aconselho para quem precisa otimizar tempo.', 'Muito custo benefício.', 'ÓTIMO', 'Bom. Simples, mas atende as expectativas.', 'Ótimo produto ', 'Boa impressão, porém barulhenta e pelo preço deveria ter também digitalizador', 'Produto excelente.', 'Ótimo', 'Atendeu ao que eu esperava.', 'Muito bom.', 'recebi dentro do prazo, o produto é muito bom, imprimi mais de 100 páginas pra começar e nem mexeu no nível da tinta.\r\nsó acho que a Epson pecou em não fazer uma bandeja coletora para as páginas que acabaram de ser imprimidas, economia besta do fabricante. Mas super recomendo o produto.', 'Relação preço x produtos.', 'Super vale o investimento.\r\nA qualidade é ótima. Impressora leve, compacta e fácil para montar/instalar. A qualidade da impressão é perfeita. \r\nO que deixa a desejar é o fato de não ser multifuncional, além disso a velocidade das impressões oscila bastante, mas normalmente, é ldevagar.\r\nPor ser leve, ela treme ao começar uma impressão e desalinha algumas folhas.\r\n', 'muitooo prática!!!! qualidade de impressao muito boa.\r\nSó tem uma coisa ruim... a impressora nao tem bandeja retrátil para folha impressa.... ', 'Muito boa.', 'Satisfaz minha necessidade. ', 'excelente produto !', 'Impressora bem pequena, ocupa pouco espaço e é excelente para pequenos trabalhos.', 'Muito bom atende bem ao que está descrito!!!', 'Até agora, esta sim dentro da qualidade. Vamos fazer esta pergunta aos 10 meses de uso ok.', 'O produto é excelente.\r\n', 'A entrega foi dentro da data prevista. Amei o Produto excelente..', 'Ótimo custo beneficio', 'Fácil instalação e manuseio', 'Produto cumpre o prometido. Muitos queixam-se da ausencia da gaveta para o papel, mas nada que um improviso nao resolva. Boa velocidade de impressão. Por enquanto a melhor em questao de custo beneficio . ', 'comprei para usar em sublimação ,usando o papel adequado, o resultado é excelente.', 'impressora muito boa. bem compacta. gostei muito. ', 'atendeu minhas expectativas otimo produto ', 'Produto muito bom...', 'Recomendo', 'Boa qualidade, custo baixo, poderia ser um pouco rápida.', 'A qualidade da impressão é ótima! Só não gostei muito da falta da bandeja para receber a impressão.', 'Impressora ótima e imprime muito ', 'Correu tudo bem, o produto em excelentes condições, a entrega perfeita. Parabéns !', 'Á impressora tem um problema de puxar papel mas que o necessário. Puxa até 5 papéis ao mesmo tempo.', 'Fantastico para uso e configuracao', 'Utilizo para trabalho, até o momento estou adorando.', 'atendeu muito bem a minha demanda de serviço', 'O produto nao é dos piores, mas o atendimento do Extra é pessimo. Eu paguei pelo frete e nao entregaram o produto na minha casa.', 'Anúncio não descreve bem as funcionalidades do produto. Como de costume da linha L da Epson deveria estar configurada de fábrica para impressão em qualidade glossy para papéis fotográficos. Além de não servir para tal fim, também não está devidamente descrito nos anúncios e especificações técnicas.', 'Utilizo para trabalhar.  Possuo uma l110, uma l365 e uma l395, além dela. Comparando a qualidade da impressora é muito inferior.  Os outros modelos tem opção de papel fotográfico,  essa não tem.', 'Sempre trabalhei com Epson, mesmo antes de ter aqui no Brasil, e esse modelo foi tanta economia boba que não condiz com a marca Epson, Não possui a bandeja que apara as folhas impressas, as folhas caem no chão após ser feira a impressão, o ecotank só cabe 40ml de tinta, geralmente outros modelos cabem 70ml. um pouco barulhenta. Não vale a economia de mais ou menos 200,00', 'Sempre trabalhei com Epson, mesmo antes de ter aqui no Brasil, e esse modelo foi tanta economia boba que não condiz com a marca Epson, Não possui a bandeja que apara as folhas impressas, as folhas caem no chão após ser feira a impressão, o ecotank só cabe 40ml de tinta, geralmente outros modelos cabem 70ml. um pouco barulhenta. Não vale a economia de mais ou menos 200,00', 'Muito bom', 'Uma impressora de simples manuseio e com ótima qualidade de impressão; recomendo.', 'So fiquei triste pq nao tem bandeija para receber a impressão', 'USO DOMESTICO', 'Milhares de impressões com cada recarga', '720Dpi Muito Ruim', 'Vou mandar para consertar', 'Muito bom produto! Recomendo', 'Impressão padrão e a alta , são bem rápidas.', 'Ótima qualidade de impressão!', 'Caro para oque entrega', 'Entrega Rápida. Produto atendeu todas expectativas']"
"Impressora Tanque de Tinta Epson L805 Wireless, 6 cores, Impressão em CD e DVD",Epson,https://www.extra.com.br/impressora-tanque-de-tinta-epson-l805-wireless-6-cores-impressao-em-cd-e-dvd/p/9195162,9195162,5741371.0,5.0,"['Excelente impressora', 'A impressora é ótima mesmo! Adorei, as cores ficam perfeitas', 'Ótima impressora. So esta um pouco cara.', 'A impressora é boa, a impressão não é o que eu pensava. Além de ser muito grande', 'Produto é otimo\r\nSo o preco que sempre vai ser surreal', 'Ótima impressora, a princípio tive dificuldade pra instalar o wifi mas agora já está tudo ok. ', 'Muito bom top de mais qualidade incrível ', 'Rápida, fácil de usar e boa impressão.', 'Muito bom.', 'Atende todas necessidades. Impressão de qualidade. Recomendo.']"
Kit 4 Litros Tinta Epson Impressora L3150 L4150 Wrshop+Bico,Marca pendente,https://www.extra.com.br/kit-4-litros-tinta-epson-impressora-l3150-l4150-wrshop-bico/p/1505153863,1505153863,17174067.0,4.0,['Bom ']
"Cartucho Epson 296 T296120 Preto para XP-231, XP-241 e XP-431",Epson,https://www.extra.com.br/cartucho-epson-296-t296120-preto-para-xp-231-xp-241-e-xp-431/p/1503633712,1503633712,15653899.0,4.5,"['Produto de qualidade recomendo ', 'O produto atendeu as espectativas. Bom.', 'O produto é de boa qualidade só que tem pouco conteúdo. A relação custo benefício não satisfaz.\r\n']"
Kit 4 Litros Tinta Epson Impressora L3150 Wrshop + Bico,Marca pendente,https://www.extra.com.br/kit-4-litros-tinta-epson-impressora-l3150-wrshop-bico/p/1505153849,1505153849,17174053.0,0.0,[]
Impressora Hp Laser Mono A4 M404dw,HP,https://www.extra.com.br/impressora-hp-laser-mono-a4-m404dw/p/1502941413,1502941413,14963441.0,5.0,['Muito bom ']
Impressora HP Neverstop 1000W Laser Mono ,HP,https://www.extra.com.br/impressora-hp-neverstop-1000w-laser-mono/p/1500631516,1500631516,12515565.0,0.0,[]
Impressora Tanque de Tinta Epson EcoTank M1120 Wireless,Epson,https://www.extra.com.br/impressora-tanque-de-tinta-epson-ecotank-m1120-wireless/p/15057865,15057865,11463427.0,5.0,"['Muito bom', 'Produto facil configuração, economico, muito bom', 'Atendo como prometido. Ja conhecia']"
Impressora Canon Pixma Ix6810 Jato De Tinta A3 Wi-Fi Ethernet Preta,Canon,https://www.extra.com.br/impressora-canon-pixma-ix6810-jato-de-tinta-a3-wi-fi-ethernet-preta/p/1506004786,1506004786,18021624.0,0.0,[]
Multifuncional Canon Tanque De Tinta Pixma Maxx G4100 Wi-fi,Canon,https://www.extra.com.br/multifuncional-canon-tanque-de-tinta-pixma-maxx-g4100-wi-fi/p/12694591,12694591,9122756.0,0.0,[]
